"Code","Country","P_falciparum_Malaria_Incidence_Per_10k.sum","Dengue_Incidence_Per_10k.sum","Cutaneous_Leishmaniasis_Incidence_Per_10k.sum","Pasture_Mosaic_Area_ha_delta","Forest_Pasture_Mosaic_delta","area_mn_pasture_mosaic_delta","Agriculture_Area_ha_delta","Forest_Agriculture_delta","area_mn_agriculture_delta"
1100015,"Brazil",43.0797533768701,794.774556567963,154.980592536647,23254.83,17197,0.391790265161497,953.73,69,4.21374713787954
1100023,"Brazil",140.916438512396,189.251076091864,81.994771242748,20215.71,-11057,12.79590049085,7009.82999999998,972,8.04038031737786
1100031,"Brazil",0,891.617019771691,119.440593417524,-13127.94,-4317,-33.3861434443611,17628.12,2165,13.5362790174074
1100049,"Brazil",3.26974983759234,730.682226762786,106.19896309957,4934.34,2569,-24.770679102227,2125.53,464,3.81740396927016
1100056,"Brazil",4.12461243303634,1991.26177794187,100.537473710009,-14515.7400000001,-7565,-13.6655755885666,18196.0199999999,3690,79.4364990504724
1100064,"Brazil",1.13501154453584,846.126075609239,139.726664490683,-1321.56,8096,-20.4616261065435,1780.56,445,0.35679787566385
1100072,"Brazil",1.85615830009751,311.085117296923,155.344971284258,-37135.17,4794,-54.9142689985377,37158.3000000001,3011,10.6887054348878
1100080,"Brazil",157.001525279324,905.191360535071,374.197494307725,38781.99,-39795,29.4469360480228,666.360000000002,615,-0.0982441162898
1100098,"Brazil",217.758797061895,1200.99244136049,253.279080648438,3924.17999999999,10948,-6.6565510364955,1415.34,810,3.23282605324373
1100106,"Brazil",210.728590737717,1580.43087893665,81.8362420920938,12212.01,14874,5.8898740004518,-6.21000000000001,0,0.199473684210526
1100114,"Brazil",12.5828331312546,923.82259742952,62.3389329453819,-1233.53999999998,6303,-29.755933877935,130.5,7,0.61394230769231
1100122,"Brazil",4.75250778236906,387.789929920246,66.3954380399838,-8295.39000000001,7183,-13.4494706429405,359.73,96,0.0222321428571401
1100130,"Brazil",762.043522608035,865.558604528368,184.018314833434,72313.47,44992,-4.275925683315,8189.1,3011,5.7017072368421
1100148,"Brazil",60.5722652993772,1167.92338367019,77.1939528601505,3194.64,-1915,1.59709108619799,538.56,4,4.02626548672566
1100155,"Brazil",4.35644161530834,437.537412268378,31.6732041452159,10046.61,11047,-10.421572222958,158.58,9,0.806326530612246
1100189,"Brazil",4.81081937475131,1196.5742917709,194.045851013399,15666.57,43502,-6.2034300249574,2656.98,1052,-1.01508446828087
